nodeId:ID,:LABEL,citation_raw,inferred_type,court,authority_weight:float,case_number,origin_state,adjudicating_body,rapporteur,decision_date,cited_ementa
EXT_RESP_1866678_,ExternalCitation,"REsp 1866678,",Case,STJ,1.0,,,,,,
EXT_RESP_1_804_186_SC,ExternalCitation,RESP 1.804.186/SC,Case,STJ,1.0,,,,,,
EXT_RESP_1_804_188_SC,ExternalCitation,RESP 1.804.188/SC,Case,STJ,1.0,,,,,,
EXT_RESP_1_537_768_DF,ExternalCitation,REsp 1.537.768/DF,Case,STJ,1.0,,,,,,
EXT_RESP_1903920,ExternalCitation,REsp 1903920,Case,STJ,1.0,,,,,,
EXT_RESP_1896379_,ExternalCitation,REsp 1896379.,Case,STJ,1.0,,,,,,
EXT_RMS_53_602_AL,ExternalCitation,RMS 53.602/AL,Case,STJ,1.0,,,,,,
EXT_RMS_53_227_RS,ExternalCitation,RMS 53.227/RS,Case,STJ,1.0,,,,,,
EXT_RMS_64_534_MT,ExternalCitation,RMS 64.534/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_497_MT,ExternalCitation,RMS 64.497/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_516_MT,ExternalCitation,RMS 64.516/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_538_MT,ExternalCitation,RMS 64.538/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_540_MT,ExternalCitation,RMS 64.540/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_530_MT,ExternalCitation,RMS 64.530/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_518_MT,ExternalCitation,RMS 64.518/MT,Case,STJ,1.0,,,,,,
EXT_RMS_64_517_MT,ExternalCitation,RMS 64.517/MT,Case,STJ,1.0,,,,,,
EXT_RMS_065075_,ExternalCitation,"RMS 065075,",Case,STJ,1.0,,,,,,
EXT_RMS_064545,ExternalCitation,RMS 064545,Case,STJ,1.0,,,,,,
EXT_RMS_064526,ExternalCitation,RMS 064526,Case,STJ,1.0,,,,,,
EXT_RMS_064497_,ExternalCitation,"RMS 064497,",Case,STJ,1.0,,,,,,
EXT_RMS_064524_,ExternalCitation,"RMS 064524,",Case,STJ,1.0,,,,,,
EXT_RMS_064540_,ExternalCitation,"RMS 064540,",Case,STJ,1.0,,,,,,
EXT_RMS_064513_,ExternalCitation,"RMS 064513,",Case,STJ,1.0,,,,,,
EXT_RMS_064538,ExternalCitation,RMS 064538,Case,STJ,1.0,,,,,,
EXT_RMS_064529_,ExternalCitation,"RMS 064529,",Case,STJ,1.0,,,,,,
EXT_RMS_064530,ExternalCitation,RMS 064530,Case,STJ,1.0,,,,,,
EXT_RMS_064564,ExternalCitation,RMS 064564,Case,STJ,1.0,,,,,,
