nodeId,edition,thesis_text,source_url,temporal_status,authority_weight
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t4,EDIÇÃO N. 39: DIREITO DO CONSUMIDOR I,"4) A vedação à denunciação da lide prevista no art. 88 do CDC não se restringe à responsabilidade de comerciante por fato do produto (art. 13 do CDC), sendo aplicável também nas demais hipóteses de responsabilidade civil por acidentes de consumo (arts. 12 e 14 do CDC).",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+39%3A+DIREITO+DO+CONSUMIDOR+I,active,0.8
STJThesis_EDICAO_N__39__DIREITO_DO_CONSUMIDOR_I_t13,EDIÇÃO N. 39: DIREITO DO CONSUMIDOR I,"13) O Código de Defesa do Consumidor se aplica indistintamente às entidades abertas e fechadas de previdência complementar, consoante a Súmula n. 321/STJ.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+39%3A+DIREITO+DO+CONSUMIDOR+I,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t4,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,"4) A instituição de ensino superior responde objetivamente pelos danos causados ao aluno em decorrência da falta de reconhecimento do curso pelo MEC, quando violado o dever de informação ao consumidor.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__42__DIREITO_DO_CONSUMIDOR_II_t12,EDIÇÃO N. 42: DIREITO DO CONSUMIDOR II,12) O início da contagem do prazo de decadência para a reclamação de vícios do produto (art. 26 do CDC) se dá após o encerramento da garantia contratual.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+42%3A+DIREITO+DO+CONSUMIDOR+II,active,0.8
STJThesis_EDICAO_N__74__DIREITO_DO_CONSUMIDOR_III_t9,EDIÇÃO N. 74: DIREITO DO CONSUMIDOR III,"9) Considera-se abusiva a prática de limitar a liberdade de escolha do consumidor vinculando a compra de produto ou serviço à aquisição concomitante de outro produto ou serviço de natureza distinta e comercializado em separado, hipótese em que se configura a venda casada.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+74%3A+DIREITO+DO+CONSUMIDOR+III,active,0.8
STJThesis_EDICAO_N__25__PROCESSO_COLETIVO_-_III_t2,EDIÇÃO N. 25: PROCESSO COLETIVO - III,"2) É possível a inversão do ônus da prova da ação civil pública em matéria ambiental a partir da interpretação do art. 6º, VIII, da Lei 8.078/1990 c/c o art. 21 da Lei n. 7.347/1985.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+25%3A+PROCESSO+COLETIVO+-+III,active,0.8
STJThesis_EDICAO_N__107__DOS_CONTRATOS_DE_PROMESSA_DE_COMPRA_E_VENDA_E_DE_COMPRA_E_VENDA_DE_BENS_IMOVEIS_-_I_t6,EDIÇÃO N. 107: DOS CONTRATOS DE PROMESSA DE COMPRA E VENDA E DE COMPRA E VENDA DE BENS IMÓVEIS - I,6) Não é abusiva a cláusula de cobrança de juros compensatórios incidente em período anterior à entrega das chaves no contrato de promessa de compra e venda ou de compra e venda de imóveis em construção sob o regime de incorporação imobiliária.,http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+107%3A+DOS+CONTRATOS+DE+PROMESSA+DE+COMPRA+E+VENDA+E+DE%0ACOMPRA+E+VENDA+DE+BENS+IMOVEIS+-+I,active,0.8
STJThesis_EDICAO_N__160__DIREITO_DO_CONSUMIDOR_-_IV_t1,EDIÇÃO N. 160: DIREITO DO CONSUMIDOR - IV,"1) Na ação consumerista, o Ministério Público faz jus à inversão do ônus da prova, independentemente daqueles que figurem como autores ou réus da demanda.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+160%3A+DIREITO+DO+CONSUMIDOR+-+IV,active,0.8
STJThesis_EDICAO_N__160__DIREITO_DO_CONSUMIDOR_-_IV_t6,EDIÇÃO N. 160: DIREITO DO CONSUMIDOR - IV,"6) O serviço prestado por laboratórios na realização de exames médicos em geral, a exemplo do teste genético para fins de investigação de paternidade e do HIV, está sujeito às disposições do Código de Defesa do Consumidor.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+160%3A+DIREITO+DO+CONSUMIDOR+-+IV,active,0.8
STJThesis_EDICAO_N__161__DIREITO_DO_CONSUMIDOR_-_V_t7,EDIÇÃO N. 161: DIREITO DO CONSUMIDOR - V,"7) A ocorrência de fortuito externo afasta responsabilidade civil objetiva das instituições financeiras, por não caracterizar vício na prestação do serviço.",http://www.stj.jus.br/SCON/jt/toc.jsp?edicao=EDICAO+N.+161%3A+DIREITO+DO+CONSUMIDOR+-+V,active,0.8
